iter	Passed	Remaining
413	3508	4965
414	3517	4957
415	3525	4948
416	3533	4940
417	3541	4931
418	3549	4922
419	3557	4912
420	3565	4904
421	3573	4895
422	3582	4886
423	3590	4878
424	3598	4868
425	3606	4859
426	3615	4851
427	3623	4842
428	3631	4833
429	3639	4824
430	3648	4816
431	3656	4807
432	3665	4800
433	3674	4791
434	3682	4782
435	3690	4773
436	3698	4765
437	3707	4756
438	3714	4747
439	3722	4738
440	3731	4730
441	3739	4721
442	3748	4712
443	3756	4703
444	3764	4695
445	3772	4686
446	3780	4677
447	3788	4667
448	3796	4658
449	3804	4649
450	3813	4641
451	3820	4632
452	3829	4623
453	3836	4614
454	3845	4605
455	3853	4597
456	3862	4589
457	3870	4580
458	3878	4571
459	3888	4564
460	3896	4555
461	3904	4546
462	3912	4537
463	3920	4528
464	3928	4520
465	3936	4511
466	3945	4503
467	3954	4495
468	3962	4486
469	3970	4476
470	3978	4468
471	3986	4459
472	3994	4449
473	4002	4441
474	4010	4432
475	4018	4423
476	4027	4415
477	4035	4406
478	4043	4397
479	4051	4389
480	4060	4381
481	4068	4372
482	4076	4363
483	4085	4355
484	4092	4345
485	4100	4337
486	4108	4328
487	4116	4318
488	4125	4310
489	4132	4301
490	4141	4292
491	4150	4285
492	4158	4276
493	4167	4268
494	4175	4259
495	4183	4251
496	4191	4242
497	4200	4233
498	4208	4225
499	4217	4217
500	4225	4208
501	4233	4200
502	4241	4191
503	4250	4183
504	4258	4174
505	4267	4165
506	4275	4157
507	4283	4149
508	4292	4140
509	4300	4131
510	4308	4122
511	4316	4113
512	4324	4105
513	4332	4096
514	4341	4088
515	4350	4080
516	4358	4071
517	4366	4063
518	4375	4054
519	4383	4045
520	4391	4037
521	4398	4028
522	4406	4019
523	4414	4010
524	4423	4001
525	4431	3993
526	4439	3984
527	4447	3976
528	4455	3967
529	4464	3958
530	4472	3950
531	4481	3941
532	4489	3933
533	4497	3924
534	4506	3916
535	4514	3908
536	4522	3899
537	4531	3891
538	4539	3882
539	4547	3873
540	4556	3865
541	4564	3857
542	4572	3848
543	4581	3840
544	4589	3831
545	4597	3822
546	4605	3814
547	4613	3805
548	4621	3796
549	4629	3787
550	4637	3779
551	4646	3770
552	4654	3762
553	4662	3753
554	4670	3744
555	4678	3735
556	4685	3726
557	4693	3718
558	4701	3709
559	4710	3700
560	4718	3692
561	4727	3684
562	4736	3676
563	4744	3667
564	4752	3659
565	4761	3650
566	4769	3642
567	4777	3633
568	4785	3625
569	4793	3616
570	4802	3608
571	4811	3600
572	4820	3591
573	4828	3583
574	4837	3575
575	4846	3567
576	4854	3558
577	4862	3549
578	4869	3540
579	4878	3532
580	4886	3524
581	4894	3515
582	4903	3507
583	4911	3498
584	4919	3489
585	4927	3481
586	4935	3472
587	4944	3464
588	4953	3456
589	4961	3447
590	4969	3439
591	4977	3430
592	4985	3421
593	4993	3412
594	5001	3404
595	5009	3395
596	5017	3386
597	5025	3378
598	5033	3369
599	5042	3361
600	5050	3353
601	5058	3344
602	5066	3335
603	5074	3327
604	5083	3318
605	5091	3310
606	5099	3301
607	5107	3293
608	5116	3284
609	5124	3276
610	5132	3267
611	5139	3258
612	5148	3250
613	5156	3241
614	5164	3233
615	5173	3224
616	5180	3216
617	5189	3207
618	5197	3199
619	5205	3190
