iter	RMSE
581	0.6498597432
582	0.6497284835
583	0.6496412094
584	0.6495081782
585	0.6493766529
586	0.6491560713
587	0.6490445732
588	0.6489078833
589	0.6487532449
590	0.6486075055
591	0.6483860529
592	0.6482090346
593	0.6480102479
594	0.6478638258
595	0.6477920742
596	0.6475838436
597	0.647467394
598	0.6474249009
599	0.6473291182
600	0.6472171179
601	0.6471020073
602	0.6469014093
603	0.6467623959
604	0.6465942164
605	0.6464731074
606	0.6463649543
607	0.646222714
608	0.6460096681
609	0.6458965705
610	0.6458189148
611	0.6457228275
612	0.6456200934
613	0.6454337435
614	0.645299305
615	0.6451049844
616	0.6449899733
617	0.6448496523
618	0.6447252333
619	0.6446660339
620	0.6444611294
621	0.6443265715
622	0.6441978929
623	0.6440167005
624	0.6438990353
625	0.6437899831
626	0.6436322777
627	0.6434663281
628	0.6432864146
629	0.6431537688
630	0.6430326248
631	0.6428648382
632	0.6427781874
633	0.6425813721
634	0.6424686602
635	0.6423371135
636	0.6421425883
637	0.6419385264
638	0.6417999068
639	0.6416598794
640	0.6416175713
641	0.6415408939
642	0.6413473146
643	0.6412102155
644	0.6411682465
645	0.6409917536
646	0.6409545308
647	0.6408270148
648	0.6406677439
649	0.6405738787
650	0.6405072561
651	0.6403889748
652	0.6402222351
653	0.6400986214
654	0.6398911277
655	0.6398241452
656	0.6396527087
657	0.6395751179
658	0.6394752061
659	0.6393873922
660	0.6392276974
661	0.639112778
662	0.6389013129
663	0.6387768463
664	0.6387255039
665	0.6386683097
666	0.6384773397
667	0.638374427
668	0.6382898005
669	0.6381932399
670	0.6380055883
671	0.6378344278
672	0.6377495177
673	0.6375905521
674	0.6374772152
675	0.6373989951
676	0.6373077237
677	0.6371620716
678	0.6370382818
679	0.6369358753
680	0.6367568578
681	0.6366334649
682	0.636524854
683	0.6363998774
684	0.636333509
685	0.6361325145
686	0.636027009
687	0.6359837354
688	0.6359094894
689	0.6357819197
690	0.6356578269
691	0.6356028436
692	0.6354131037
693	0.6352925453
694	0.6351219247
695	0.6350484524
696	0.6348861859
697	0.6347077303
698	0.6345795147
699	0.634464215
700	0.6343439496
701	0.6342373956
702	0.6341346861
703	0.6340352431
704	0.633947051
705	0.6338741689
706	0.6337227062
707	0.6336300015
708	0.6334638846
709	0.6333900763
710	0.63322898
711	0.6331124514
712	0.6329730829
713	0.6328712994
714	0.632741548
715	0.6326199458
716	0.6325391179
717	0.6323784389
718	0.6322998039
719	0.6321552538
720	0.6319776386
721	0.631852333
722	0.6317161023
723	0.6316611197
724	0.6315710757
725	0.6314508203
726	0.6313279519
727	0.6311760068
728	0.6311314535
729	0.6309912958
730	0.630805429
731	0.6307249487
732	0.6305361393
733	0.630428819
734	0.6301901692
735	0.6300903315
736	0.6300008007
737	0.6299504745
738	0.6297845366
739	0.6296623372
740	0.6295865615
741	0.6294689194
742	0.6293544725
743	0.6292164672
744	0.6290854797
745	0.6289359665
746	0.628837879
747	0.6286761077
748	0.6285447211
749	0.6284848558
750	0.6283282771
751	0.6282183637
752	0.6280839425
753	0.6279493914
754	0.6278655813
755	0.627721343
756	0.6276344913
757	0.6275145742
758	0.6274181582
759	0.627336128
760	0.6272382101
761	0.6271033145
762	0.6270296161
763	0.6268359617
764	0.6266683219
765	0.6265678664
766	0.6264113071
767	0.6263005272
768	0.6261981951
769	0.626090315
770	0.6259746061
771	0.6258129379
772	0.625684214
773	0.6255080583
774	0.6253763303
775	0.625264076
776	0.6251717019
777	0.6250985252
778	0.6249402491
779	0.6248331249
780	0.6247657493
781	0.6246962869
782	0.6246384857
783	0.6245550165
784	0.6244219094
785	0.6243710666
786	0.6242749565
787	0.6241724607
788	0.6240132992
789	0.6238774619
790	0.6237775963
791	0.6236252881
792	0.6234434081
793	0.6233549338
794	0.6232244965
795	0.6231577921
796	0.6229500454
797	0.6228643664
798	0.6227138837
799	0.6226169853
800	0.6225166634
801	0.6224423313
802	0.622319365
803	0.6221629086
804	0.6220584874
805	0.6219732505
806	0.6217869311
807	0.6217041428
808	0.6216300203
809	0.6214787746
810	0.6213161933
811	0.6211791846
812	0.6210519234
813	0.6209587676
814	0.6208511379
815	0.6207587317
816	0.6206339981
817	0.6205422247
818	0.6204169838
819	0.6203495872
820	0.6202325082
821	0.6200816018
822	0.6199565742
823	0.6198760846
824	0.619804186
825	0.6197060696
826	0.6196072986
827	0.6195144672
828	0.6194241688
829	0.6192571387
830	0.6191457301
831	0.61911956
832	0.6189894636
833	0.6188726085
834	0.61874578
835	0.6185559759
836	0.6183646206
837	0.6182372486
838	0.6181812363
839	0.6180930679
840	0.6180051361
841	0.6178808056
842	0.6177974867
843	0.6176774988
844	0.617590147
845	0.6175112101
846	0.6173789689
847	0.6172608505
848	0.6171180236
849	0.6170180475
850	0.6169651402
851	0.6168236041
852	0.6166461363
853	0.6165428585
854	0.6164538131
855	0.6163573714
856	0.6162556013
857	0.6161665807
858	0.6161100064
859	0.6160477918
860	0.6159946233
861	0.6158972499
862	0.6158262759
863	0.61568392
864	0.6156008358
865	0.6154111145
866	0.6152937197
867	0.6151898615
868	0.6150659338
869	0.6149984056
870	0.6148660642
871	0.6147622528
872	0.6146676241
873	0.6145792476
874	0.6145092694
875	0.6144285364
876	0.6143103947
877	0.6140551288
878	0.6139990751
879	0.6138731072
880	0.6137488095
881	0.6136318823
882	0.6135716714
883	0.6134990639
884	0.6133178431
885	0.6132191123
886	0.613104889
887	0.6129490032
888	0.6128884023
889	0.6127253956
890	0.6126209024
891	0.6125782613
892	0.6124776094
893	0.612356427
894	0.6122692017
895	0.6121818794
896	0.6121022607
897	0.6120054047
898	0.6119453012
899	0.6117717827
900	0.6116624672
901	0.6115741091
902	0.6114619564
903	0.6112871929
904	0.6111749677
905	0.6110171027
906	0.6109429246
907	0.6108346059
908	0.6107239258
909	0.6105937745
910	0.6105135207
911	0.6103839138
912	0.6102912419
913	0.6102151458
914	0.6100877732
915	0.6099717985
916	0.6098197878
917	0.6097428052
918	0.6096302129
919	0.6095488663
920	0.6094367161
921	0.6093534846
922	0.6092322428
923	0.6091427626
924	0.6091017363
925	0.6089532294
926	0.6088787222
927	0.6087570709
928	0.6086406601
929	0.6085404201
930	0.6084418522
931	0.6083581349
932	0.6082598314
933	0.608129538
934	0.6079698535
935	0.6078467273
936	0.6077954955
937	0.6077020202
938	0.6075266404
939	0.6074242888
940	0.6073311222
941	0.6072741554
942	0.6071911872
943	0.6071141378
944	0.6069561273
945	0.6068373915
946	0.6067750654
947	0.606693
948	0.6065697098
949	0.6064115682
950	0.6062760497
951	0.6061784424
952	0.6059964341
953	0.6058910983
954	0.6057821566
955	0.6057104399
956	0.6056429599
957	0.6056114242
958	0.6054265641
959	0.6053593205
960	0.6052211307
961	0.6051793507
962	0.6050240308
963	0.6049390099
964	0.6048499304
965	0.6047653501
966	0.6046971894
967	0.6046300982
968	0.6045099226
969	0.6044108069
970	0.6043400952
971	0.6042181114
972	0.6041413723
973	0.6039979884
974	0.6038677759
975	0.6037902066
976	0.6036769697
977	0.603568192
978	0.6035331343
979	0.6034461936
980	0.6033543013
981	0.6032324446
982	0.6030629432
983	0.6029617337
984	0.6028442783
985	0.6027620664
986	0.6026687581
987	0.6025658732
988	0.6024918019
989	0.6024395329
990	0.6023336714
991	0.6022756406
992	0.6021989068
993	0.6021225977
994	0.601991063
995	0.6019688639
996	0.601855768
997	0.601764145
998	0.6015897628
999	0.6015524673
